ProlificID,SyntheticPersonID,AttnCheck,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Condition
P000005,1024,,Not at all harmful,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Extremely harmful,Extremely harmful,Financial
P000005,13676,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,13735,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000005,4442,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Financial
P000006,4900,,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Very harmful,Very harmful,Very harmful,Very harmful,Health
P000006,2656,,Very harmful,Very harmful,Very harmful,Very harmful,Very harmful,Very harmful,Very harmful,Very harmful,Health
P000006,4667,,Extremely harmful,Very harmful,Extremely harmful,Very harmful,Very harmful,Very harmful,Very harmful,Extremely harmful,Health
P000006,15066,,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Moderately harmful,Very harmful,Very harmful,Extremely harmful,Health
P000006,1919,,Moderately harmful,Very harmful,Extremely harmful,Very harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,8822,,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,3913,,Moderately harmful,Extremely harmful,Very harmful,Extremely harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Health
P000006,8649,,Moderately harmful,Very harmful,Very harmful,Very harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,9421,,Moderately harmful,Very harmful,Very harmful,Very harmful,Moderately harmful,Very harmful,Extremely harmful,Extremely harmful,Health
P000006,19274,Tax the RICH...give the others a break!,Moderately harmful,Very harmful,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Extremely harmful,Extremely harmful,Health
P000006,7749,,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,2670,,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Slightly harmful,Moderately harmful,Extremely harmful,Extremely harmful,Health
P000006,2480,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,8063,,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Health
P000006,3682,,Moderately harmful,Moderately harmful,Slightly harmful,Very harmful,Slightly harmful,Moderately harmful,Moderately harmful,Very harmful,Health
P000006,1664,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Health
P000006,8193,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Moderately harmful,Moderately harmful,Health
P000006,12443,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Extremely harmful,Health
P000006,15730,,Moderately harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Slightly harmful,Very harmful,Extremely harmful,Health
P000006,17347,Green,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Slightly harmful,Very harmful,Extremely harmful,Health
P000006,5301,,Very harmful,Very harmful,Very harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Extremely harmful,Health
P000006,18152,,Moderately harmful,Moderately harmful,Very harmful,Very harmful,Moderately harmful,Moderately harmful,Extremely harmful,Extremely harmful,Health
P000006,13087,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Slightly harmful,Very harmful,Very harmful,Health
P000006,13712,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Slightly harmful,Very harmful,Extremely harmful,Health
P000006,7781,,Moderately harmful,Moderately harmful,Moderately harmful,Extremely harmful,Slightly harmful,Moderately harmful,Very harmful,Extremely harmful,Health
P000006,4417,,Moderately harmful,Moderately harmful,Moderately harmful,Very harmful,Slightly harmful,Slightly harmful,Very harmful,Very harmful,Health
P000006,1300,,Very harmful,Very harmful,Very harmful,Moderately harmful,Slightly harmful,Slightly harmful,Extremely harmful,Extremely harmful,Health
P000006,11593,,Moderately harmful,Slightly harmful,Very harmful,Moderately harmful,Slightly harmful,Moderately harmful,Extremely harmful,Extremely harmful,Health
P000007,4900,,Slightly harmful,Not at all harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,2656,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,4667,,Slightly harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,15066,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Moderately harmful,Slightly harmful,Health
P000007,1919,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,8822,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Health
P000007,3913,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Health
P000007,8649,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Health
P000007,9421,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,19274,Help the country be safe.,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,7749,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,2670,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,2480,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Health
P000007,8063,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,3682,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,1664,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,8193,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
P000007,12443,,Slightly harmful,Moderately harmful,Moderately harmful,Moderately harmful,Slightly harmful,Moderately harmful,Slightly harmful,Slightly harmful,Health
P000007,15730,,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Slightly harmful,Health
